Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #6410
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),22.87
Room Temp (deg C),23.87
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,22.87
30.00,22.86
60.00,22.87
90.00,22.88
120.00,22.88
150.00,22.86
180.00,22.85
210.00,22.85
240.00,22.87
270.00,22.85
300.00,22.85
330.00,23.88
360.00,25.48
390.00,26.62
420.00,27.31
450.00,27.75
480.00,27.94
510.00,28.06
540.00,28.13
570.00,28.17
600.00,28.18
630.00,28.21
660.00,28.21
690.00,28.18
720.00,28.19
750.00,28.19
780.00,28.20
810.00,28.19
840.00,28.20
870.00,28.17
900.00,28.18
930.00,28.15
960.00,28.17
